Rescue probability,Death rate,Mutation rate
0.361,0.9989473684210527,2.5118864315095823e-07
0.495,0.9989473684210527,3.981071705534969e-07
0.649,0.9989473684210527,6.30957344480193e-07
0.828,0.9989473684210527,1e-06
0.923,0.9989473684210527,1.584893192461114e-06
0.993,0.9989473684210527,2.5118864315095823e-06
0.999,0.9989473684210527,3.981071705534969e-06
1.0,0.9989473684210527,6.30957344480193e-06
1.0,0.9989473684210527,1e-05
1.0,0.9989473684210527,1.584893192461114e-05
1.0,0.9989473684210527,2.5118864315095822e-05
1.0,0.9989473684210527,3.9810717055349695e-05
1.0,0.9989473684210527,6.309573444801943e-05
1.0,0.9989473684210527,0.0001
1.0,0.9989473684210527,0.0005
1.0,0.9989473684210527,0.001
0.012,1.0273684210526317,1e-08
0.072,1.0273684210526317,5e-08
0.136,1.0273684210526317,1e-07
0.216,1.0273684210526317,1.584893192461114e-07
0.281,1.0273684210526317,2.5118864315095823e-07
0.455,1.0273684210526317,3.981071705534969e-07
0.592,1.0273684210526317,6.30957344480193e-07
0.783,1.0273684210526317,1e-06
0.892,1.0273684210526317,1.584893192461114e-06
0.977,1.0273684210526317,2.5118864315095823e-06
0.997,1.0273684210526317,3.981071705534969e-06
1.0,1.0273684210526317,6.30957344480193e-06
1.0,1.0273684210526317,1e-05
1.0,1.0273684210526317,1.584893192461114e-05
1.0,1.0273684210526317,2.5118864315095822e-05
1.0,1.0273684210526317,3.9810717055349695e-05
1.0,1.0273684210526317,6.309573444801943e-05
1.0,1.0273684210526317,0.0001
1.0,1.0273684210526317,0.0005
1.0,1.0273684210526317,0.001
0.021,1.0557894736842106,1e-08
0.064,1.0557894736842106,5e-08
0.119,1.0557894736842106,1e-07
0.173,1.0557894736842106,1.584893192461114e-07
0.278,1.0557894736842106,2.5118864315095823e-07
0.388,1.0557894736842106,3.981071705534969e-07
0.555,1.0557894736842106,6.30957344480193e-07
0.701,1.0557894736842106,1e-06
0.86,1.0557894736842106,1.584893192461114e-06
0.947,1.0557894736842106,2.5118864315095823e-06
0.993,1.0557894736842106,3.981071705534969e-06
0.999,1.0557894736842106,6.30957344480193e-06
1.0,1.0557894736842106,1e-05
1.0,1.0557894736842106,1.584893192461114e-05
1.0,1.0557894736842106,2.5118864315095822e-05
1.0,1.0557894736842106,3.9810717055349695e-05
1.0,1.0557894736842106,6.309573444801943e-05
1.0,1.0557894736842106,0.0001
1.0,1.0557894736842106,0.0005
1.0,1.0557894736842106,0.001
0.016,1.0842105263157895,1e-08
0.049,1.0842105263157895,5e-08
0.096,1.0842105263157895,1e-07
0.157,1.0842105263157895,1.584893192461114e-07
0.231,1.0842105263157895,2.5118864315095823e-07
0.347,1.0842105263157895,3.981071705534969e-07
0.513,1.0842105263157895,6.30957344480193e-07
0.637,1.0842105263157895,1e-06
0.799,1.0842105263157895,1.584893192461114e-06
0.916,1.0842105263157895,2.5118864315095823e-06
0.982,1.0842105263157895,3.981071705534969e-06
1.0,1.0842105263157895,6.30957344480193e-06
1.0,1.0842105263157895,1e-05
1.0,1.0842105263157895,1.584893192461114e-05
1.0,1.0842105263157895,2.5118864315095822e-05
1.0,1.0842105263157895,3.9810717055349695e-05
1.0,1.0842105263157895,6.309573444801943e-05
1.0,1.0842105263157895,0.0001
1.0,1.0842105263157895,0.0005
1.0,1.0842105263157895,0.001
0.013,1.1126315789473684,1e-08
0.042,1.1126315789473684,5e-08
0.081,1.1126315789473684,1e-07
0.132,1.1126315789473684,1.584893192461114e-07
0.188,1.1126315789473684,2.5118864315095823e-07
0.307,1.1126315789473684,3.981071705534969e-07
0.454,1.1126315789473684,6.30957344480193e-07
0.602,1.1126315789473684,1e-06
0.789,1.1126315789473684,1.584893192461114e-06
0.904,1.1126315789473684,2.5118864315095823e-06
0.973,1.1126315789473684,3.981071705534969e-06
0.998,1.1126315789473684,6.30957344480193e-06
1.0,1.1126315789473684,1e-05
1.0,1.1126315789473684,1.584893192461114e-05
1.0,1.1126315789473684,2.5118864315095822e-05
1.0,1.1126315789473684,3.9810717055349695e-05
1.0,1.1126315789473684,6.309573444801943e-05
1.0,1.1126315789473684,0.0001
