Rescue probability,c,Growth ratios,Nc
0.0,0.5,1.0,100
0.54,0.0,1.6,100
0.494,0.05555555555555555,1.6,100
0.393,0.1111111111111111,1.6,100
0.0,0.16666666666666666,1.6,100
0.0,0.2222222222222222,1.6,100
0.0,0.2777777777777778,1.6,100
0.0,0.3333333333333333,1.6,100
0.0,0.38888888888888884,1.6,100
0.0,0.4444444444444444,1.6,100
0.0,0.5,1.6,100
0.655,0.0,2.4,100
0.574,0.05555555555555555,2.4,100
0.457,0.1111111111111111,2.4,100
0.339,0.16666666666666666,2.4,100
0.0,0.2222222222222222,2.4,100
0.0,0.2777777777777778,2.4,100
0.0,0.3333333333333333,2.4,100
0.0,0.38888888888888884,2.4,100
0.0,0.4444444444444444,2.4,100
0.0,0.5,2.4,100
0.712,0.0,3.6,100
0.623,0.05555555555555555,3.6,100
0.555,0.1111111111111111,3.6,100
0.453,0.16666666666666666,3.6,100
0.311,0.2222222222222222,3.6,100
0.0,0.2777777777777778,3.6,100
0.0,0.3333333333333333,3.6,100
0.0,0.38888888888888884,3.6,100
0.0,0.4444444444444444,3.6,100
0.0,0.5,3.6,100
0.787,0.0,5.5,100
0.722,0.05555555555555555,5.5,100
0.646,0.1111111111111111,5.5,100
0.535,0.16666666666666666,5.5,100
0.448,0.2222222222222222,5.5,100
0.166,0.2777777777777778,5.5,100
0.0,0.3333333333333333,5.5,100
0.0,0.38888888888888884,5.5,100
0.0,0.4444444444444444,5.5,100
0.0,0.5,5.5,100
0.836,0.0,9.2,100
0.769,0.05555555555555555,9.2,100
0.701,0.1111111111111111,9.2,100
0.589,0.16666666666666666,9.2,100
0.504,0.2222222222222222,9.2,100
0.421,0.2777777777777778,9.2,100
0.0,0.3333333333333333,9.2,100
0.0,0.38888888888888884,9.2,100
0.0,0.4444444444444444,9.2,100
0.0,0.5,9.2,100
0.923,0.0,19.0,100
0.83,0.05555555555555555,19.0,100
0.758,0.1111111111111111,19.0,100
0.674,0.16666666666666666,19.0,100
0.572,0.2222222222222222,19.0,100
0.455,0.2777777777777778,19.0,100
0.332,0.3333333333333333,19.0,100
0.0,0.38888888888888884,19.0,100
0.0,0.4444444444444444,19.0,100
0.0,0.5,19.0,100
0.98,0.0,127.0,100
0.899,0.05555555555555555,127.0,100
0.816,0.1111111111111111,127.0,100
0.708,0.16666666666666666,127.0,100
0.621,0.2222222222222222,127.0,100
0.533,0.2777777777777778,127.0,100
0.456,0.3333333333333333,127.0,100
0.0,0.38888888888888884,127.0,100
0.0,0.4444444444444444,127.0,100
0.0,0.5,127.0,100
0.0,0.0,0.2,500
0.0,0.05555555555555555,0.2,500
0.0,0.1111111111111111,0.2,500
0.0,0.16666666666666666,0.2,500
0.0,0.2222222222222222,0.2,500
0.0,0.2777777777777778,0.2,500
0.0,0.3333333333333333,0.2,500
0.0,0.38888888888888884,0.2,500
0.0,0.4444444444444444,0.2,500
0.0,0.5,0.2,500
0.0,0.0,0.6,500
0.0,0.05555555555555555,0.6,500
0.0,0.1111111111111111,0.6,500
0.0,0.16666666666666666,0.6,500
0.0,0.2222222222222222,0.6,500
0.0,0.2777777777777778,0.6,500
0.0,0.3333333333333333,0.6,500
0.0,0.38888888888888884,0.6,500
0.0,0.4444444444444444,0.6,500
0.0,0.5,0.6,500
0.048,0.0,1.0,500
0.0,0.05555555555555555,1.0,500
0.0,0.1111111111111111,1.0,500
0.0,0.16666666666666666,1.0,500
0.0,0.2222222222222222,1.0,500
0.0,0.2777777777777778,1.0,500
